count,dirty_character,strongly_suggested,similarity,clean_character,weakly_suggested,similarities
8,Mr. Woodley,,,,Woodley / Wood / Mrs. Woodley,"[1.7745966692414834, 1.547722557505166, 1.758116330321033]"
8,Mr. Neville St. Clair,,,,Mrs. St. Clair / Neville St. Clair / Neville / Mr. St. Clair / Mr. Neville St.--Oh,"[1.5283448863944926, 1.8944271909999157, 1.547722557505166, 1.7745966692414834, 1.5156425651503995]"
8,Mr. Acton,Mr. Acton,[2.0],,Acton,[1.7071067811865475]
8,Mahomet Singh,Mahomet Singh,[2.0],,Mahomet,[1.7071067811865475]
8,Prendergast,Prendergast,[2.0],,Predergast / Jack Prendergast,"[1.7321629316004565, 1.816496580927726]"
8,Cunningham,,,,Mr. Cunningham / Alec Cunningham / Mr. Alec Cunningham,"[1.8320502943378436, 1.8017837257372733, 1.7071067811865475]"
8,Mordecai Smith,,,,Smith / Mr. Mordecai Smith,"[1.5547001962252291, 1.8744746321952062]"
8,Pompey,,,,,
8,Mr. Baynes,Baynes,[1.7453559924999298],,Baynes / Mr. Barnes,"[1.7453559924999298, 1.5555555555555556]"
8,Baron Gruner,,,,Baron / Baron Adelbert Gruner,"[1.6030226891555273, 1.7416198487095662]"
8,Mr. Thaddeus Sholto,,,,Sholto / Thaddeus Sholto / Mr. Sholto / Mr. Thaddeus / Thaddeus,"[1.52704627669473, 1.8819171036881968, 1.7071067811865475, 1.7817359599705718, 1.6236095644623236]"
8,Mr. Thaddeus,,,,Mr. Thaddeus Sholto / Thaddeus,"[1.7817359599705718, 1.7977240352174655]"
8,Neligan,,,,John Hopley Neligan,[1.5773502691896257]
8,Grimesby Roylott,,,,Roylott,[1.632455532033676]
8,Shlessinger,,,,Mrs. Shlessinger,[1.816496580927726]
8,Vermissa,,,,,
8,Mrs. Maberley,,,,Maberley,[1.7637626158259734]
8,Mr. Culverton Smith,,,,Mr. Smith / Culverton Smith,"[1.6666666666666665, 1.8819171036881968]"
8,Mr. Drebber,,,,Drebber / E. J. Drebber / Mr. Enoch Drebber / Mr. Enoch J. Drebber,"[1.7745966692414834, 1.5302967433402215, 1.7905694150420948, 1.7254762501100118]"
8,Mr. Hilton Cubitt,,,,Hilton Cubitt / Mrs. Hilton Cubitt / Mr. Cubitt,"[1.8660254037844388, 1.8470085938862486, 1.75]"
8,Gorgiano,,,,Giuseppe Gorgiano / Black Gorgiano,"[1.6614378277661475, 1.7337993857053429]"
7,Hunter,,,,Miss Hunter / Violet Hunter / Ned Hunter / Caunter / Miss Violet Hunter,"[1.7071067811865475, 1.6454972243679027, 1.7453559924999298, 1.5302967433402215, 1.5423261445466405]"
7,Mr. Trevor,,,,Trevor / Mr. Trevor Bennett,"[1.7453559924999298, 1.727606875108999]"
7,Steve,,,,Steve Dixie / Steve Wilson / Stevenson / Bert Stevens,"[1.632455532033676, 1.6030226891555273, 1.7071067811865475, 1.6030226891555273]"
7,Hobson,,,,,
7,Mr. Garrideb,,,,Mr. Nathan Garrideb / Mr. John Garrideb / Garrideb / Garridebs,"[1.7817359599705718, 1.82915619758885, 1.7977240352174655, 1.6212025072446363]"
7,Gilchrist,,,,Mr. Gilchrist / Jabez Gilchrist,"[1.8164965809277263, 1.7559289460184544]"
7,Alec Cunningham,,,,Mr. Cunningham / Cunningham / Mr. Alec Cunningham,"[1.5104800858918703, 1.8017837257372733, 1.8819171036881968]"
7,Mrs. Mason,,,,Mr. Mason / Mason,"[1.6999579113843055, 1.6666666666666665]"
7,Ronald Adair,Ronald Adair,[2.0],,Adair / Ronald,"[1.6030226891555273, 1.674199862463242]"
7,Neville St. Clair,,,,Mr. Neville St. Clair / Neville,"[1.8944271909999157, 1.6123724356957947]"
7,Norwood,,,,,
7,Hayes,,,,Mr. Reuben Hayes / Reuben Hayes / Mrs. Hayes / Mr. Hayes,"[1.5163977794943222, 1.6030226891555273, 1.6666666666666665, 1.7071067811865475]"
7,Adair,Hilda Adair / Ronald Adair,"[1.632455532033676, 1.6030226891555273]",,Ronald Adair,[1.6030226891555273]
7,Fitzroy Simpson,,,,Simpson / Fitzroy,"[1.6546536707079773, 1.6546536707079773]"
7,Forbes,Forbes,[2.0],,Mr. Forbes,[1.7453559924999298]
7,Mr. James Wilder,,,,James / Mr. Wilder / Wilder / James Wilder / Mr. James Baker Williams,"[1.5163977794943222, 1.7745966692414834, 1.5773502691896257, 1.8563488385776754, 1.5665631393422819]"
7,Evans,,,,Killer Evans / Evans Pott / Eva / Carrie Evans / Mr. Evans,"[1.6030226891555273, 1.6666666666666665, 1.7071067811865475, 1.6030226891555273, 1.7071067811865475]"
7,Mr. Nathan Garrideb,,,,Mr. Garrideb / Nathan Garrideb / Garrideb / Mr. Nathan,"[1.7817359599705718, 1.8819171036881968, 1.6236095644623236, 1.7071067811865475]"
7,Coram,,,,Professor Coram,[1.5345224838248488]
7,Colonel Lysander Stark,Colonel Lysander Stark,[2.0],,,
7,George Burnwell,,,,George,[1.597614304667197]
7,Mr. Scott Eccles,,,,Scott Eccles / Eccles / Mr. John Scott Eccles / Mr. Eccles,"[1.8563488385776754, 1.5773502691896257, 1.8660254037844386, 1.7745966692414834]"
7,Prescott,,,,Rodger Prescott,[1.7071067811865475]
7,Mr. Wilder,,,,Mr. James Wilder / Wilder,"[1.7745966692414834, 1.7453559924999298]"
7,Martha,,,,,
7,Willoughby Smith,,,,Smith / Mr. Willoughby Smith,"[1.5163977794943222, 1.8885233166386386]"
7,Johnson,,,,John / Shinwell Johnson / John Mason / Mr. Sidney Johnson / Theophilus Johnson / Sidney Johnson / Mr. Johnson / John Robinson / Johnston,"[1.7071067811865475, 1.632455532033676, 1.513747150773105, 1.5940885257860047, 1.5940885257860047, 1.6793662204867574, 1.7745966692414834, 1.7071067811865475, 1.6048500831437928]"
7,Mrs. Stapleton,,,,Stapleton / Mr. Stapleton / Stapletons / Mrs. Stoner,"[1.7844645405527362, 1.797371512594646, 1.6284891505225276, 1.5016464154456235]"
7,Mr. Jabez Wilson,Jabez Wilson,[1.8563488385776754],,Wilson / Mr. Wilson / Jabez Wilson,"[1.5773502691896257, 1.7745966692414834, 1.8563488385776754]"
7,Mr. McFarlane,,,,McFarlane / Mr. John Hector McFarlane,"[1.8164965809277263, 1.7071067811865475]"
7,Leslie Armstrong,,,,Armstrong,[1.7302967433402214]
7,Freeman,,,,,
7,Jim,,,,Jimmie / Jimmy,"[1.632455532033676, 1.7071067811865475]"
7,Baden,,,,,
6,Bartholomew Sholto,Bartholomew Sholto,[2.0],,Sholto / Bartholomew / Mr. Bartholomew Sholto,"[1.5423261445466405, 1.7669649888473704, 1.8997354108424374]"
6,Mrs. Porter,,,,,
6,Mrs. Oakshott,,,,Oakshott,[1.7637626158259734]
6,Norbury,,,,,
6,Lawler,,,,,
6,Walters,,,,Walter,[1.912870929175277]
6,Ian Murdoch,,,,Murdoch / Mr. Ian Murdoch,"[1.7745966692414834, 1.8451542547285165]"
6,Breckinridge,,,,Mr. Breckinridge,[1.8563488385776754]
6,Mr. McMurdo,,,,McMurdo / Mr. Murdoch / Mr. Crooked McMurdo,"[1.7745966692414834, 1.6, 1.7453559924999298]"
6,Hugo Baskerville,,,,Baskerville,[1.816496580927726]
6,Mrs. Straker,,,,Straker / Mr. John Straker,"[1.7385489458759964, 1.518830867927189]"
6,Mr. Henry Baker,,,,Henry / Mr. Baker / Henry Baker / Mrs. Henry Baker / Henry Bakers / Baker / Mr. Henry Baskerville,"[1.5345224838248488, 1.7559289460184544, 1.8451542547285165, 1.825656655716489, 1.7149138731162892, 1.5345224838248488, 1.7054700246387844]"
6,Hosmer,,,,Mr. Hosmer Angel / Hosmer Angel,"[1.5773502691896257, 1.674199862463242]"
6,Black Peter,,,,Peter / Pete,"[1.632455532033676, 1.547722557505166]"
6,Mrs. Forrester,Forrester,[1.7844645405527362],,Mrs. Cecil Forrester / Forrester,"[1.827170191868511, 1.7844645405527362]"
6,Mr. Stapleton,,,,Stapleton / Mrs. Stapleton / Stapletons,"[1.8164965809277263, 1.797371512594646, 1.6586892478083899]"
6,Mrs. Bernstone,,,,Mrs. Stoner,[1.5016464154456235]
6,Miss Mary Sutherland,Mary Sutherland,[1.8583950752789522],,Miss Sutherland,[1.8583950752789522]
6,Miss Morrison,,,,Morris / Morrison,"[1.6454972243679027, 1.7637626158259734]"
6,Lady Hilda,,,,Hilda,[1.6666666666666665]
6,William Kirwan,,,,William,[1.6793662204867574]
6,Mr. Alec,,,,Alec / Mr. Alec Cunningham,"[1.6546536707079773, 1.6236095644623236]"
6,Hall Pycroft,,,,Mr. Hall Pycroft / Pycroft,"[1.8563488385776754, 1.7385489458759964]"
6,Mrs. Hilton Cubitt,,,,Hilton Cubitt / Mr. Hilton Cubitt / Mr. Cubitt,"[1.8401680504168059, 1.8470085938862486, 1.5356505556524436]"
6,Mr. Athelney Jones,Athelney Jones,[1.8744746321952062],,Athelney Jones / Mr. Jones,"[1.8744746321952062, 1.6859943405700353]"
6,Sam,,,,Samson / Samuel,"[1.632455532033676, 1.632455532033676]"
6,Mr. Smith,,,,Smith / Mrs. Smith / Mr. Culverton Smith / Mr. Willoughby Smith / Mr. Mordecai Smith,"[1.7071067811865475, 1.6999579113843055, 1.6666666666666665, 1.6488856845230502, 1.6859943405700353]"
6,Wood,,,,Woodley / Mr. Woodley / Woodman / Jack Woodley / Henry Wood / Mrs. Woodley / Woodhouse / Harry Wood / J. G. Wood,"[1.7071067811865475, 1.547722557505166, 1.7071067811865475, 1.5222329678670934, 1.5773502691896257, 1.5222329678670934, 1.6123724356957947, 1.5773502691896257, 1.5773502691896257]"
6,Murphy,,,,,
6,John Douglas,,,,Douglas / John / Mr. John Douglas,"[1.7385489458759964, 1.5222329678670934, 1.8563488385776754]"
6,Perkins,,,,Masser Perkins,[1.6793662204867574]
6,Mrs. Marker,,,,Mark,[1.547722557505166]
6,Mr. Duncan Ross,Duncan Ross,[1.8451542547285165],,Duncan Ross,[1.8451542547285165]
6,Thaddeus,,,,Thaddeus Sholto / Mr. Thaddeus Sholto / Mr. Thaddeus,"[1.7071067811865475, 1.6236095644623236, 1.7977240352174655]"
6,Cantlemere,,,,,
6,Mr. Neil Gibson,,,,Mr. Gibson / Neil Gibson / Gibson / J. Neil Gibson,"[1.8017837257372733, 1.8451542547285165, 1.597614304667197, 1.8125761030702445]"
6,Mr. White Mason,,,,White Mason / Mr. Mason / Mason,"[1.8451542547285165, 1.7559289460184544, 1.5345224838248488]"
6,Mr. Barrymore,,,,Barrymore / Mrs. Barrymore,"[1.8164965809277263, 1.797371512594646]"
6,Acton,Mr. Acton,[1.7071067811865475],,Mr. Acton,[1.7071067811865475]
6,Dawson,,,,Mawson,[1.6]
6,Frances,,,,Lady Frances / Frances Carfax / Lady Frances Carfax,"[1.7385489458759964, 1.6793662204867574, 1.5773502691896257]"
6,Jacky,,,,Jack,[1.8660254037844388]
6,Mrs. Toller,,,,Toller,[1.7071067811865475]
6,Mr. Staunton,,,,Mr. Godfrey Staunton / Staunton,"[1.7608859102526822, 1.7977240352174655]"
6,Roy,,,,Roylott,[1.5773502691896257]
6,Mr. Mortimer Tregennis,,,,Mortimer / Mortimer Tregennis / Mr. Tregennis / Tregennis / Dr. Mortimer,"[1.5773502691896257, 1.8997354108424374, 1.7559289460184544, 1.6172133998483678, 1.5670426040506782]"
5,Abdullah Khan,Abdullah Khan,[2.0],,Abdullah,[1.7637626158259734]
5,Mr. Turner,Mrs. Turner,[1.7321629316004565],,Turner / Mr. John Turner / Mrs. Turner,"[1.7453559924999298, 1.8017837257372733, 1.7321629316004565]"
5,Mr. Horace Harker,Horace,[1.5590169943749475],,Mr. Harker / Harker / Horace / Horace Harker,"[1.75, 1.5590169943749475, 1.5590169943749475, 1.8660254037844388]"
5,John Openshaw,John Openshaw,[2.0],,Openshaw,[1.7637626158259734]
5,Morton,Morton,[2.0],,Cyril Morton / Norton,"[1.674199862463242, 1.6]"
5,Mr. Fowler,Mr. Fowler,[2.0],,,
5,Dost Akbar,Dost Akbar,[2.0],,Akbar,[1.6666666666666665]
5,Miss Sutherland,Mr. Sutherland / Ned Sutherland,"[1.5104800858918703, 1.5104800858918703]",,Miss Mary Sutherland,[1.8583950752789522]
4,John Clay,John Clay,[2.0],,John / Mr. John Clay / John Clayton / Clay,"[1.6123724356957947, 1.8164965809277263, 1.8528028654224418, 1.6123724356957947]"
4,Hilda,Hilda Adair,[1.632455532033676],,Lady Hilda,[1.6666666666666665]
4,Mr. Harding,Mr. Hardy,[1.6576237921249264],,Mr. Hardy,[1.6576237921249264]
4,Jonathan,Jonathan Small,[1.7337993857053429],,Jonathan Small / Jonathan Wild,"[1.7337993857053429, 1.7637626158259734]"
3,Jackson,Thomas J. Jackson,[1.6123724356957947],,Jack,[1.7071067811865475]
3,Lecoq,Monsieur Lecoq,[1.5547001962252291],,,
3,Mrs. Watson,Mrs. Watson,[2.0],,Watson / Dr. Watson,"[1.7071067811865475, 1.5156425651503995]"
3,Joseph Smith,Joseph Smith,[2.0],,Joseph / Smith / Jose,"[1.674199862463242, 1.6030226891555273, 1.5222329678670934]"
3,Abdullah,Abdullah Khan,[1.7637626158259734],,Abdullah Khan,[1.7637626158259734]
3,Mr. James Windibank,James Windibank,[1.8819171036881968],,Mr. Windibank / James Windibank / Windibank,"[1.816496580927726, 1.8819171036881968, 1.6666666666666665]"
3,Albert,Prince Albert,[1.6454972243679027],,,
3,Mr. Bartholomew Sholto,Bartholomew Sholto,[1.8997354108424374],,Mr. Sholto / Bartholomew / Bartholomew Sholto,"[1.654653670707977, 1.6900655593423544, 1.8997354108424374]"
3,MacKinnon,MacKinnon,[2.0],,,
3,Hill Barton,Barton / Hill,"[1.7071067811865475, 1.547722557505166]",,Hill / Barton / Bart,"[1.547722557505166, 1.7071067811865475, 1.547722557505166]"
3,Godfrey Norton,Godfrey Norton,[2.0],,Godfrey / Mr. Godfrey Norton / Norton,"[1.6793662204867574, 1.8744746321952062, 1.6201736729460423]"
3,Miller Hill,Hill,[1.547722557505166],,Hill,[1.547722557505166]
3,Turner,Mrs. Turner,[1.7071067811865475],,Mr. Turner / Miss Turner / Mr. John Turner / Mrs. Turner,"[1.7453559924999298, 1.7071067811865475, 1.597614304667197, 1.7071067811865475]"
2,Paramore,Paramore,[2.0],,,
2,McCauley,McCauley,[2.0],,,
2,Peter,Peter Jones,[1.632455532033676],,Peter Carey / Peterson / Peters / Black Peter / Mrs. Peters / Pete / Peter Jones / Peter Steiler / Henry Peters / Holy Peters / Mr. Peters,"[1.632455532033676, 1.7559289460184544, 1.8944271909999157, 1.632455532033676, 1.632455532033676, 1.8660254037844388, 1.632455532033676, 1.5773502691896257, 1.6030226891555273, 1.632455532033676, 1.6666666666666665]"
2,King of Scandinavia,King of Scandinavia,[2.0],,,
2,Prince,Prince Albert,[1.6454972243679027],,Shoscombe Prince,[1.5773502691896257]
2,Fordham,Fordham,[2.0],,Fordingham / Mr. Fordham,"[1.513747150773105, 1.7745966692414834]"
2,Ezekiah Hopkins,Ezekiah Hopkins,[2.0],,Hopkins,[1.6546536707079773]
2,Brown,Sam Brown,[1.7071067811865475],,Silas Brown / Browner / Jim Browner / Mrs. Browner / Mr. Josiah Brown / Mr. Silas Brown / Sam Brown / Bromley Brown / James Browner / Browners / Mr. Brown / Mr. Browner,"[1.632455532033676, 1.8164965809277263, 1.632455532033676, 1.6030226891555273, 1.5163977794943222, 1.5345224838248488, 1.7071067811865475, 1.5773502691896257, 1.5773502691896257, 1.7559289460184544, 1.7071067811865475, 1.632455532033676]"
2,Tobias Gregson,Tobias Gregson,[2.0],,Gregson,[1.6793662204867574]
2,Mr. John Clay,John Clay,[1.8164965809277263],,John Clay,[1.8164965809277263]
2,Agatha,Agatha,[2.0],,,
2,Gladstone,Gladstone,[2.0],,,
2,Cyril Morton,Morton,[1.674199862463242],,Morton / Cyril,"[1.674199862463242, 1.6030226891555273]"
2,Elias,Elias Openshaw,[1.5547001962252291],,Elias Whitney,[1.5773502691896257]
2,Adams,Adams,[2.0],,,
2,Dr. Watson,Mrs. Watson,[1.5156425651503995],,Watson / Mrs. Watson,"[1.7453559924999298, 1.5156425651503995]"
2,Dr. Lysander Starr,Dr. Lysander Starr,[2.0],,,
2,Akbar,Dost Akbar,[1.6666666666666665],,Dost Akbar,[1.6666666666666665]
2,James Moriarty,James Moriarty,[2.0],,Moriarty / James,"[1.7337993857053429, 1.5547001962252291]"
2,Mr. Godfrey Norton,Godfrey Norton,[1.8744746321952062],,Godfrey / Godfrey Norton / Mr. Godfrey / Norton,"[1.5940885257860047, 1.8744746321952062, 1.7669649888473704, 1.5423261445466405]"
2,Jabez Wilson,Jabez Wilson,[2.0],,Wilson / Mr. Jabez Wilson,"[1.674199862463242, 1.8563488385776754]"
2,Mr. Hardy,Mr. Hardy,[2.0],,Mr. Harding,[1.6576237921249264]
2,James Windibank,James Windibank,[2.0],,James / Mr. James Windibank / Windibank,"[1.5345224838248488, 1.8819171036881968, 1.7559289460184544]"
2,John Swain,John Swain,[2.0],,John,[1.5773502691896257]
2,John Clayton,John Clay,[1.8528028654224418],,John / John Clay / Clayton / Clay,"[1.5222329678670934, 1.8528028654224418, 1.7385489458759964, 1.5222329678670934]"
2,Mr. Forbes,Forbes,[1.7453559924999298],,Forbes,[1.7453559924999298]
2,Horace,Horace,[2.0],,Mr. Horace Harker / Horace Harker,"[1.5590169943749475, 1.6454972243679027]"
1,Mrs. Etherege,Mrs. Etherege,[2.0],,,
1,Mr. William Morris,William Morris,[1.8744746321952062],,Morris / William / William Morris / Mr. Morris,"[1.5423261445466405, 1.5940885257860047, 1.8744746321952062, 1.727606875108999]"
1,Atkinson,Atkinson,[2.0],,,
1,Mrs. Turner,Mrs. Turner,[2.0],,Mr. Turner / Turner,"[1.7321629316004565, 1.7071067811865475]"
1,Archie Swindon,Archie,[1.6201736729460423],,Archie,[1.6201736729460423]
1,Adler,Irene Adler,[1.632455532033676],,Irene Adler / Miss Irene Adler / Miss Adler,"[1.632455532033676, 1.5163977794943222, 1.6666666666666665]"
1,Trepoff,Trpoff,[1.5302967433402215],,,
1,Alec MacDonald,Alec MacDonald,[2.0],,MacDonald,[1.7844645405527362]
1,William Morris,William Morris,[2.0],,Morris / William / Mr. William Morris,"[1.6201736729460423, 1.6793662204867574, 1.8744746321952062]"
1,Abernetty,Abernetty,[2.0],,,
1,Windibank,James Windibank,[1.7559289460184544],,Mr. Windibank / Mr. James Windibank / James Windibank,"[1.8164965809277263, 1.6666666666666665, 1.7559289460184544]"
1,Youghal,Yough,[1.8164965809277263],,,
1,Wilhelm Gottsreich Sigismond von Ormstein,Wilhelm Gottsreich Sigismond von Ormstein,[2.0],,,
1,Wallenstein,Wallenstein,[2.0],,,
1,Abrahams,Abrahams,[2.0],,,
1,Patterson,Patterson / Grice Patersons,"[2.0, 1.5364378277661475]",,Grice Patersons,[1.5364378277661475]
1,Pete,Peter Jones,[1.547722557505166],,Peter Carey / Peterson / Peters / Black Peter / Peter / Mrs. Peters / Peter Jones / Henry Peters / Holy Peters / Mr. Peters,"[1.547722557505166, 1.6546536707079773, 1.7745966692414834, 1.547722557505166, 1.8660254037844388, 1.547722557505166, 1.547722557505166, 1.5222329678670934, 1.547722557505166, 1.5773502691896257]"
1,Peter Jones,Peter Jones,[2.0],,Jones / Peter / Pete,"[1.632455532033676, 1.632455532033676, 1.547722557505166]"
1,Archie Stamford,Archie,[1.597614304667197],,Archie,[1.597614304667197]
1,Archie,Archie,[2.0],,Archie Swindon / Archie Stamford,"[1.6201736729460423, 1.597614304667197]"
1,Norton,Morton / Godfrey Norton,"[1.6, 1.6201736729460423]",,Morton / Godfrey Norton / Robert Norberton / Mr. Godfrey Norton / Irene Norton,"[1.6, 1.6201736729460423, 1.5773502691896257, 1.5423261445466405, 1.674199862463242]"
1,Predergast,Prendergast,[1.7321629316004565],,Prendergast / Jack Prendergast,"[1.7321629316004565, 1.5774192615479852]"
1,Sam Brown,Sam Brown,[2.0],,Brown,[1.7071067811865475]
1,Sarasate,Sarasate,[2.0],,,
1,Ronald,Ronald Adair,[1.674199862463242],,Ronald Adair,[1.674199862463242]
1,Boswell,Boswell,[2.0],,,
1,George Sand,George Sand,[2.0],,George,[1.7071067811865475]
1,Grice Patersons,Patterson / Grice Patersons,"[1.5364378277661475, 2.0]",,Patterson,[1.5364378277661475]
1,Gustave Flaubert,Gustave Flaubert,[2.0],,,
1,Hafiz,Hafiz,[2.0],,,
1,James Calhoun,James Calhoun,[2.0],,James / Calhoun,"[1.5773502691896257, 1.7071067811865475]"
1,John H. Watson,John H. Watson,[2.0],,Watson,[1.6201736729460423]
1,John Hardy,John Hare,[1.6999579113843055],,John / John Vincent Harden,"[1.5773502691896257, 1.5174282499435976]"
1,Jack Prendergast,Prendergast,[1.816496580927726],,Prendergast / Predergast,"[1.816496580927726, 1.5774192615479852]"
1,Horace Harker,Horace,[1.6454972243679027],,Mr. Horace Harker / Harker / Horace,"[1.8660254037844388, 1.6454972243679027, 1.6454972243679027]"
1,Irene,Irene Adler,[1.632455532033676],,Irene Adler / Irene Norton / Miss Irene / Miss Irene Adler,"[1.632455532033676, 1.6030226891555273, 1.6666666666666665, 1.5163977794943222]"
1,Cook,Cook,[2.0],,,
1,Calhoun,James Calhoun,[1.7071067811865475],,James Calhoun,[1.7071067811865475]
1,Cuvier,Frédéric Cuvier,[1.597614304667197],,,
1,De Quincey,Thomas De Quincey,[1.75],,,
1,Clotilde Lothman von Saxe-Meningen,Clotilde Lothman von Saxe-Meningen,[2.0],,,
1,Clay,John Clay,[1.6123724356957947],,John Clay / John Clayton / Clayton,"[1.6123724356957947, 1.5222329678670934, 1.7071067811865475]"
1,Clark Russell,William Clark Russell,[1.7745966692414834],,,
1,Dr. Ainstree,Dr. Ainstree,[2.0],,,
1,Fordingham,Fordham,[1.513747150773105],,Fordham,[1.513747150773105]
1,Forrester,Forrester,[2.0],,Mrs. Cecil Forrester / Mrs. Forrester,"[1.6488856845230502, 1.7844645405527362]"
1,G. Lestrade,Lestrade,[1.8366600265340756],,Lestrade / Mr. Lestrade / Messrs. Lestrade,"[1.8366600265340756, 1.758116330321033, 1.6348469228349534]"
1,Gaboriau,Émile Gaboriau,[1.7337993857053429],,,
1,Duchess of Devonshire,Duchess of Devonshire,[2.0],,,
1,Duncan Ross,Duncan Ross,[2.0],,Ross / Mr. Duncan Ross,"[1.547722557505166, 1.8451542547285165]"
1,Dundas,Dundas,[2.0],,,
1,Mr. Bardle,Bardle,[1.7453559924999298],,Bardle,[1.7453559924999298]
1,Barton,Barton,[2.0],,Hill Barton / Bart,"[1.7071067811865475, 1.7745966692414834]"
1,Bart,Barton,[1.7745966692414834],,Bartholomew / Hill Barton / Barton,"[1.547722557505166, 1.547722557505166, 1.7745966692414834]"
1,Moore Agar,Moore Agar,[2.0],,,
1,Miss Irene Adler,Irene Adler,[1.816496580927726],,Irene Adler / Adler / Irene / Miss Irene / Miss Adler,"[1.816496580927726, 1.5163977794943222, 1.5163977794943222, 1.7745966692414834, 1.7745966692414834]"
1,Montgomery,Montgomery,[2.0],,,
1,Mister Sherlock Holmes,Sherlock Holmes,[1.8164965809277258],,Sherlock Holmes / Mr. Sherlock Holmes / Sherlock,"[1.8164965809277258, 1.6048500831437928, 1.5773502691896257]"
1,Bardle,Bardle,[2.0],,Mr. Bardle,[1.7453559924999298]
1,Mr. Lanner,Lanner,[1.7453559924999298],,Lanner,[1.7453559924999298]
1,Mr. Morse Hudson,Mrs. Hudson,[1.6348469228349534],,Mrs. Hudson / Hudson / Morse Hudson,"[1.6348469228349534, 1.5773502691896257, 1.8563488385776754]"
1,Mr. Mycroft Holmes,Mycroft Holmes,[1.8744746321952062],,Holmes / Mr. Holmes / Mycroft / Mycroft Holmes,"[1.5423261445466405, 1.727606875108999, 1.5940885257860047, 1.8744746321952062]"
1,Mr. John Hare,John Hare,[1.8164965809277263],,,
1,Mr. Fordham,Fordham,[1.7745966692414834],,Fordham,[1.7745966692414834]
1,Lanner,Lanner,[2.0],,Mr. Lanner,[1.7453559924999298]
1,Jose,Joseph Smith,[1.5222329678670934],,Joseph / Joseph Smith / Franz Josef,"[1.7745966692414834, 1.5222329678670934, 1.547722557505166]"
1,Merivale,Merivale,[2.0],,,
1,Merryweather,Mr. Merryweather,[1.8563488385776754],,Mr. Merryweather,[1.8563488385776754]
1,Messrs. Lestrade,Lestrade,[1.6831300510639733],,Lestrade / Mr. Lestrade / G. Lestrade,"[1.6831300510639733, 1.518830867927189, 1.6348469228349534]"
1,Mary Morstan,Mary,[1.5222329678670934],,Mary / Morstan / Miss Mary Morstan,"[1.5222329678670934, 1.7385489458759964, 1.82915619758885]"
1,Mahomet,Mahomet Singh,[1.7071067811865475],,Mahomet Singh,[1.7071067811865475]
1,Major Freebody,Freebody,[1.7337993857053429],,,
1,Mary Fraser,Mary,[1.547722557505166],,Mary / Fraser / Miss Mary Fraser / Mary--Mary Fraser,"[1.547722557505166, 1.7071067811865475, 1.816496580927726, 1.7905694150420948]"
1,Mary Jane,Mary / Mary Jane,"[1.6123724356957947, 2.0]",,Mary,[1.6123724356957947]
