docTokenBegin,text,ner,nerConfidences,title,clean_text,clean_text_others
6428,Franco-Midland Hardware Company,ORGANIZATION,{'ORGANIZATION': 0.9441472588496},the_stock_brokers_clerk,Franco-Midland Hardware Company,Franco-Midland Hardware Company
6487,Holmes,PERSON,{'PERSON': 0.97761317454282},the_stock_brokers_clerk,Sherlock Holmes,Sherlock Holmes
6489,Pycroft,PERSON,{'PERSON': 0.50715202651222},the_stock_brokers_clerk,Pycroft,other
6556,Watson,PERSON,{'PERSON': 0.99722575426652},the_stock_brokers_clerk,John H. Watson,John H. Watson
6560,Holmes,PERSON,{'PERSON': 0.95420626106334},the_stock_brokers_clerk,Sherlock Holmes,Sherlock Holmes
6686,Holmes,PERSON,{'PERSON': 0.98066145444649},the_stock_brokers_clerk,Sherlock Holmes,Sherlock Holmes
6755,Pycroft,PERSON,{'PERSON': 0.8143259801659},the_stock_brokers_clerk,Pycroft,other
6790,Holmes,PERSON,{'PERSON': 0.98614059024161},the_stock_brokers_clerk,Sherlock Holmes,Sherlock Holmes
6825,Watson,PERSON,{'PERSON': 0.99818166542622},the_stock_brokers_clerk,John H. Watson,John H. Watson
6893,Pycroft,LOCATION,{'LOCATION': 0.48169315622105},the_stock_brokers_clerk,Pycroft,Pycroft
7081,Pinner,PERSON,{'PERSON': 0.99263956456628},the_stock_brokers_clerk,Pinner,other
7105,Mr. Hall Pycroft,PERSON,,the_stock_brokers_clerk,Mr. Hall Pycroft,other
7123,Monday,DATE,{'DATE': 0.99565489694443},the_stock_brokers_clerk,Monday,Monday
7124,morning,TIME,{'TIME': 0.94213565020022},the_stock_brokers_clerk,morning,morning
7280,Mawson,ORGANIZATION,{'ORGANIZATION': 0.48740902651599},the_stock_brokers_clerk,Mawson,Mawson
7301,Midlands,LOCATION,{'LOCATION': 0.88887171395179},the_stock_brokers_clerk,Midlands,Midlands
7316,London,LOCATION,{'LOCATION': 0.99691785029544},the_stock_brokers_clerk,London,London
7465,Hall Pycroft,PERSON,{'PERSON': 0.97282092341932},the_stock_brokers_clerk,Hall Pycroft,Hall Pycroft
7502,Mawson,ORGANIZATION,{'ORGANIZATION': 0.66293680020943},the_stock_brokers_clerk,Mawson,Mawson
7510,Mr. Holmes,PERSON,,the_stock_brokers_clerk,Sherlock Holmes,Sherlock Holmes
7525,Mawson,PERSON,{'PERSON': 0.54667915909879},the_stock_brokers_clerk,Mawson,Mawson
7535,Saturdays,DATE,{'DATE': 0.84761862664058},the_stock_brokers_clerk,Saturdays,Saturdays
7700,Holmes,PERSON,{'PERSON': 0.91786157042654},the_stock_brokers_clerk,Sherlock Holmes,Sherlock Holmes
7766,Watson,PERSON,{'PERSON': 0.96218629059766},the_stock_brokers_clerk,John H. Watson,John H. Watson
7776,London,LOCATION,{'LOCATION': 0.992018611252},the_stock_brokers_clerk,London,London
7806,Mawson & Williams,ORGANIZATION,{'ORGANIZATION': 0.99933407687994},the_stock_brokers_clerk,Mawson & Williams,Mawson & Williams
7823,Watson,PERSON,{'PERSON': 0.95367740066866},the_stock_brokers_clerk,John H. Watson,John H. Watson
7904,Mawson & Williams,ORGANIZATION,{'ORGANIZATION': 0.99785828275742},the_stock_brokers_clerk,Mawson & Williams,Mawson & Williams
7988,Hall Pycroft,PERSON,{'PERSON': 0.9130736250054},the_stock_brokers_clerk,Hall Pycroft,Hall Pycroft
8005,Beddington,PERSON,{'PERSON': 0.9394359354329},the_stock_brokers_clerk,Beddington,other
8092,Mawson,ORGANIZATION,{'ORGANIZATION': 0.78401746741289},the_stock_brokers_clerk,Mawson,Mawson
8100,midday,TIME,{'TIME': 0.78259826164676},the_stock_brokers_clerk,midday,midday
8102,Saturday,DATE,{'DATE': 0.99748555680901},the_stock_brokers_clerk,Saturday,Saturday
8105,Tuson,PERSON,{'PERSON': 0.97976341699652},the_stock_brokers_clerk,Tuson,other
8152,Pollack,PERSON,{'PERSON': 0.99721129395677},the_stock_brokers_clerk,Pollack,other
8188,American,MISC,{'MISC': 0.999629866019},the_stock_brokers_clerk,American,American
8241,Monday,DATE,{'DATE': 0.99859688258729},the_stock_brokers_clerk,Monday,Monday
8242,morning,TIME,{'TIME': 0.9175739301673},the_stock_brokers_clerk,morning,morning
8253,Tuson,PERSON,{'PERSON': 0.90282144440694},the_stock_brokers_clerk,Tuson,other
8278,Beddington,PERSON,{'PERSON': 0.99170564426931},the_stock_brokers_clerk,Beddington,other
8366,Holmes,PERSON,{'PERSON': 0.97577875222666},the_stock_brokers_clerk,Sherlock Holmes,Sherlock Holmes
8387,Watson,PERSON,{'PERSON': 0.92227941016519},the_stock_brokers_clerk,John H. Watson,John H. Watson
8436,Mr. Pycroft,PERSON,,the_stock_brokers_clerk,Mr. Pycroft,other
13,Baker Street,LOCATION,{'LOCATION': 0.98628202447639},the_adventure_of_the_priory_school,Baker Street,Baker Street
31,Thorneycroft Huxtable,PERSON,{'PERSON': 0.65986213776458},the_adventure_of_the_priory_school,Thorneycroft Huxtable,other
173,Holmes,PERSON,{'PERSON': 0.95580651715362},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
267,Watson,PERSON,{'PERSON': 0.9969016918585},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
271,Holmes,PERSON,{'PERSON': 0.95420626106334},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
309,Mackleton,LOCATION,{'LOCATION': 0.68912202989023},the_adventure_of_the_priory_school,Mackleton,Mackleton
315,England,LOCATION,{'LOCATION': 0.99904932973906},the_adventure_of_the_priory_school,England,England
319,Holmes,PERSON,{'PERSON': 0.97124414679677},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
391,Mr. Holmes,PERSON,,the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
429,Mr. Holmes,PERSON,,the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
490,Mr. Holmes,PERSON,,the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
496,Mackleton,LOCATION,{'LOCATION': 0.81810541486142},the_adventure_of_the_priory_school,Mackleton,Mackleton
516,Watson,PERSON,{'PERSON': 0.99968737474938},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
537,Ferrers Documents,ORGANIZATION,{'ORGANIZATION': 0.52724100927864},the_adventure_of_the_priory_school,Ferrers Documents,Ferrers Documents
542,Abergavenny,LOCATION,{'LOCATION': 0.50613592708491},the_adventure_of_the_priory_school,Abergavenny,Abergavenny
559,London,LOCATION,{'LOCATION': 0.99869282929915},the_adventure_of_the_priory_school,London,London
591,Holdernesse,PERSON,{'PERSON': 0.52477722533077},the_adventure_of_the_priory_school,Holdernesse,other
624,Globe last night,TIME,{'TIME': 0.95639410353878},the_adventure_of_the_priory_school,Globe last night,Globe last night
638,Holmes,PERSON,{'PERSON': 0.99646476360448},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
666,K.G.,LOCATION,{'LOCATION': 0.5748470776063},the_adventure_of_the_priory_school,K.G.,K.G.
676,Baron Beverley,PERSON,{'PERSON': 0.9773485362892},the_adventure_of_the_priory_school,Baron Beverley,other
679,Earl of Carston,PERSON,{'PERSON': 0.41288754226405},the_adventure_of_the_priory_school,Earl of Carston,other
697,1900,DATE,{'DATE': 0.96839941462533},the_adventure_of_the_priory_school,1900,1900
700,Edith,PERSON,{'PERSON': 0.95248918204072},the_adventure_of_the_priory_school,Edith,other
705,Charles Appledore,PERSON,{'PERSON': 0.99918568561806},the_adventure_of_the_priory_school,Charles Appledore,other
708,1888,DATE,{'DATE': 0.88543718390379},the_adventure_of_the_priory_school,1888,1888
729,Lancashire,LOCATION,{'LOCATION': 0.9813776622388},the_adventure_of_the_priory_school,Lancashire,Lancashire
731,Wales,LOCATION,{'LOCATION': 0.99027931359772},the_adventure_of_the_priory_school,Wales,Wales
735,Carlton House,ORGANIZATION,{'ORGANIZATION': 0.56370155497654},the_adventure_of_the_priory_school,Carlton House,Carlton House
739,Holdernesse Hall,LOCATION,{'LOCATION': 0.85781994681513},the_adventure_of_the_priory_school,Holdernesse Hall,Holdernesse Hall
742,Hallamshire,LOCATION,{'LOCATION': 0.49738578779037},the_adventure_of_the_priory_school,Hallamshire,Hallamshire
744,Carston Castle,LOCATION,{'LOCATION': 0.91859476529137},the_adventure_of_the_priory_school,Carston Castle,Carston Castle
747,Bangor,LOCATION,{'LOCATION': 0.99250985650285},the_adventure_of_the_priory_school,Bangor,Bangor
749,Wales,LOCATION,{'LOCATION': 0.98474608597199},the_adventure_of_the_priory_school,Wales,Wales
754,Admiralty,MISC,{'MISC': 0.33209028196779},the_adventure_of_the_priory_school,Admiralty,Admiralty
756,1872,DATE,{'DATE': 0.72192881179296},the_adventure_of_the_priory_school,1872,1872
795,Mr. Holmes,PERSON,,the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
887,Holmes,PERSON,{'PERSON': 0.97949961561933},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
890,Watson,PERSON,{'PERSON': 0.9818895740326},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
899,Huxtable,PERSON,{'PERSON': 0.99992477887058},the_adventure_of_the_priory_school,Huxtable,Huxtable
905,England,LOCATION,{'LOCATION': 0.99978716175986},the_adventure_of_the_priory_school,England,England
911,Huxtable,PERSON,{'PERSON': 0.99977353325897},the_adventure_of_the_priory_school,Huxtable,Huxtable
942,Thorneycroft Huxtable,PERSON,{'PERSON': 0.99977365230045},the_adventure_of_the_priory_school,Thorneycroft Huxtable,other
947,Priory School,ORGANIZATION,{'ORGANIZATION': 0.8370153027132},the_adventure_of_the_priory_school,Priory School,Priory School
951,Mackleton,LOCATION,{'LOCATION': 0.99721404182583},the_adventure_of_the_priory_school,Mackleton,Mackleton
1050,Huxtable,PERSON,{'PERSON': 0.87089618071405},the_adventure_of_the_priory_school,Huxtable,Huxtable
1052,Sidelights,MISC,{'MISC': 0.59976544229604},the_adventure_of_the_priory_school,Sidelights,Sidelights
1054,Horace,PERSON,{'PERSON': 0.96564945189036},the_adventure_of_the_priory_school,Horace,Horace
1080,England,LOCATION,{'LOCATION': 0.99997514797921},the_adventure_of_the_priory_school,England,England
1083,Leverstoke,PERSON,{'PERSON': 0.95269980474237},the_adventure_of_the_priory_school,Leverstoke,other
1088,Blackwater,ORGANIZATION,{'ORGANIZATION': 0.86301275533826},the_adventure_of_the_priory_school,Blackwater,Blackwater
1091,Cathcart Soames,PERSON,{'PERSON': 0.96499483476677},the_adventure_of_the_priory_school,Cathcart Soames,other
1120,Duke of Holdernesse,ORGANIZATION,{'ORGANIZATION': 0.7481568406712},the_adventure_of_the_priory_school,Duke of Holdernesse,Duke of Holdernesse
1124,Mr. James Wilder,PERSON,,the_adventure_of_the_priory_school,Mr. James Wilder,Mr. James Wilder
1137,Saltire,PERSON,{'PERSON': 0.48983970438229},the_adventure_of_the_priory_school,Saltire,other
1179,May 1st,DATE,{'DATE': 0.5827639945096},the_adventure_of_the_priory_school,May 1st,May 1st
1191,summer,DATE,{'DATE': 0.85974626707563},the_adventure_of_the_priory_school,summer,summer
1248,Duke,PERSON,{'PERSON': 0.5129115873522},the_adventure_of_the_priory_school,Duke,Duke
1281,France,LOCATION,{'LOCATION': 0.99772375965221},the_adventure_of_the_priory_school,France,France
1311,Holdernesse Hall,LOCATION,{'LOCATION': 0.96364814789132},the_adventure_of_the_priory_school,Holdernesse Hall,Holdernesse Hall
1356,night,TIME,{'TIME': 0.61960693305253},the_adventure_of_the_priory_school,night,night
1358,May 13th,DATE,{'DATE': 0.86955751788047},the_adventure_of_the_priory_school,May 13th,May 13th
1367,last Monday,DATE,{'DATE': 0.99886553420723},the_adventure_of_the_priory_school,last Monday,last Monday
1406,Saltire,PERSON,{'PERSON': 0.58939306198327},the_adventure_of_the_priory_school,Saltire,other
1459,Tuesday,DATE,{'DATE': 0.99915743305923},the_adventure_of_the_priory_school,Tuesday,Tuesday
1460,morning,TIME,{'TIME': 0.93646919542966},the_adventure_of_the_priory_school,morning,morning
1484,Eton,LOCATION,{'ORGANIZATION': 0.81568823795425},the_adventure_of_the_priory_school,Eton,Eton
1525,Caunter,PERSON,{'PERSON': 0.67145273750554},the_adventure_of_the_priory_school,Caunter,other
1584,Heidegger,PERSON,{'PERSON': 0.9690525123101},the_adventure_of_the_priory_school,Heidegger,other
1587,German,MISC,{'MISC': 0.9999997391156},the_adventure_of_the_priory_school,German,German
1738,Thursday,DATE,{'DATE': 0.99925094240009},the_adventure_of_the_priory_school,Thursday,Thursday
1739,morning,TIME,{'TIME': 0.76256345948577},the_adventure_of_the_priory_school,morning,morning
1748,Tuesday,DATE,{'DATE': 0.99973014347655},the_adventure_of_the_priory_school,Tuesday,Tuesday
1760,Holdernesse Hall,LOCATION,{'LOCATION': 0.99040303850376},the_adventure_of_the_priory_school,Holdernesse Hall,Holdernesse Hall
1800,Duke,ORGANIZATION,{'ORGANIZATION': 0.53208425173353},the_adventure_of_the_priory_school,Duke,Duke
1830,Mr. Holmes,PERSON,,the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
1868,Sherlock Holmes,PERSON,{'PERSON': 0.99921516848289},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
2008,Mr. Holmes,PERSON,,the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
2100,last night,TIME,{'TIME': 0.81222282712556},the_adventure_of_the_priory_school,last night,last night
2113,Liverpool,LOCATION,{'LOCATION': 0.93344341954047},the_adventure_of_the_priory_school,Liverpool,Liverpool
2244,German,MISC,{'MISC': 0.99999796149993},the_adventure_of_the_priory_school,German,German
2335,German,MISC,{'MISC': 0.99999268037478},the_adventure_of_the_priory_school,German,German
2587,Duke,ORGANIZATION,{'ORGANIZATION': 0.52767639380439},the_adventure_of_the_priory_school,Duke,Duke
2596,Duke,PERSON,{'PERSON': 0.68378319209824},the_adventure_of_the_priory_school,Duke,Duke
2625,France,LOCATION,{'LOCATION': 0.99666966384416},the_adventure_of_the_priory_school,France,France
2866,Mr. James Wilder,PERSON,,the_adventure_of_the_priory_school,Mr. James Wilder,Mr. James Wilder
2903,Duke,ORGANIZATION,{'ORGANIZATION': 0.61643399192878},the_adventure_of_the_priory_school,Duke,Duke
2933,Mr. Holmes,PERSON,,the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
2975,Mr. Huxtable,PERSON,,the_adventure_of_the_priory_school,Mr. Huxtable,other
2999,Liverpool,LOCATION,{'LOCATION': 0.97956774565065},the_adventure_of_the_priory_school,Liverpool,Liverpool
3040,Watson,PERSON,{'PERSON': 0.98753274993801},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
3069,Huxtable,PERSON,{'PERSON': 0.99965453607509},the_adventure_of_the_priory_school,Huxtable,Huxtable
3126,Duke,ORGANIZATION,{'ORGANIZATION': 0.53691621671348},the_adventure_of_the_priory_school,Duke,Duke
3128,Mr. Wilder,PERSON,,the_adventure_of_the_priory_school,Mr. Wilder,Mr. Wilder
3257,Huxtable,PERSON,{'PERSON': 0.99883603238982},the_adventure_of_the_priory_school,Huxtable,Huxtable
3274,Wilder,PERSON,{'PERSON': 0.91832480416902},the_adventure_of_the_priory_school,Wilder,other
3320,this morning,TIME,{'TIME': 0.55883540948966},the_adventure_of_the_priory_school,this morning,this morning
3324,Huxtable,PERSON,{'PERSON': 0.99839915841511},the_adventure_of_the_priory_school,Huxtable,Huxtable
3334,London,LOCATION,{'LOCATION': 0.98990367694341},the_adventure_of_the_priory_school,London,London
3344,Mr. Sherlock Holmes,PERSON,,the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
3361,Huxtable,PERSON,{'PERSON': 0.99982620337781},the_adventure_of_the_priory_school,Huxtable,Huxtable
3406,Mr. Wilder,PERSON,,the_adventure_of_the_priory_school,Mr. Wilder,Mr. Wilder
3417,Huxtable,PERSON,{'PERSON': 0.99986514424664},the_adventure_of_the_priory_school,Huxtable,Huxtable
3462,Mr. Sherlock Holmes,PERSON,,the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
3468,London,LOCATION,{'LOCATION': 0.99895144037534},the_adventure_of_the_priory_school,London,London
3486,Holmes,PERSON,{'PERSON': 0.99051132442399},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
3579,Duke,ORGANIZATION,{'ORGANIZATION': 0.76152934099308},the_adventure_of_the_priory_school,Duke,Duke
3594,Mr. Wilder,PERSON,,the_adventure_of_the_priory_school,Mr. Wilder,Mr. Wilder
3598,Huxtable,PERSON,{'PERSON': 0.99976224118884},the_adventure_of_the_priory_school,Huxtable,Huxtable
3612,Mr. Holmes,PERSON,,the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
3644,Mr. Holmes,PERSON,,the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
3660,Holdernesse Hall,LOCATION,{'LOCATION': 0.96388688164906},the_adventure_of_the_priory_school,Holdernesse Hall,Holdernesse Hall
3701,Mr. Holmes,PERSON,,the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
3707,Mr. Wilder,PERSON,,the_adventure_of_the_priory_school,Mr. Wilder,Mr. Wilder
3741,Holmes,PERSON,{'PERSON': 0.98224667463415},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
4080,Holmes,PERSON,{'PERSON': 0.97233285965574},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
4090,Duke,ORGANIZATION,{'ORGANIZATION': 0.39526226569502},the_adventure_of_the_priory_school,Duke,Duke
4107,France,LOCATION,{'LOCATION': 0.89422478095424},the_adventure_of_the_priory_school,France,France
4120,Duchess,MISC,{'MISC': 0.41002649608342},the_adventure_of_the_priory_school,Duchess,Duchess
4156,German,MISC,{'MISC': 0.99998847036518},the_adventure_of_the_priory_school,German,German
4162,Huxtable,PERSON,{'PERSON': 0.99988674866594},the_adventure_of_the_priory_school,Huxtable,Huxtable
4183,Holmes,PERSON,{'PERSON': 0.96231829670082},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
4302,German,MISC,{'MISC': 0.9999993953392},the_adventure_of_the_priory_school,German,German
4368,Sherlock Holmes,PERSON,{'PERSON': 0.99946904299041},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
4451,Watson,PERSON,{'PERSON': 0.97684124713657},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
4505,Priory School,ORGANIZATION,{'ORGANIZATION': 0.55780008399255},the_adventure_of_the_priory_school,Priory School,Priory School
4718,Red Bull,ORGANIZATION,{'ORGANIZATION': 0.4230812482083},the_adventure_of_the_priory_school,Red Bull,Red Bull
4732,Mackleton,PERSON,{'PERSON': 0.56508658909707},the_adventure_of_the_priory_school,Mackleton,other
4979,Lower Gill Moor,ORGANIZATION,{'ORGANIZATION': 0.75490799624908},the_adventure_of_the_priory_school,Lower Gill Moor,Lower Gill Moor
5002,Holdernesse Hall,LOCATION,{'LOCATION': 0.58631394388286},the_adventure_of_the_priory_school,Holdernesse Hall,Holdernesse Hall
5056,Chesterfield,LOCATION,{'LOCATION': 0.96502163094708},the_adventure_of_the_priory_school,Chesterfield,Chesterfield
5114,Holmes,PERSON,{'PERSON': 0.97066098825611},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
5164,Huxtable,PERSON,{'PERSON': 0.99996974563353},the_adventure_of_the_priory_school,Huxtable,Huxtable
5245,Tuesday,DATE,{'DATE': 0.99955000346877},the_adventure_of_the_priory_school,Tuesday,Tuesday
5289,Tuesday,DATE,{'DATE': 0.99966315194167},the_adventure_of_the_priory_school,Tuesday,Tuesday
5290,morning,TIME,{'TIME': 0.86488547310995},the_adventure_of_the_priory_school,morning,morning
5321,Duke,ORGANIZATION,{'ORGANIZATION': 0.57460895501745},the_adventure_of_the_priory_school,Duke,Duke
5345,Holmes,PERSON,{'PERSON': 0.98544874427482},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
5373,Lower Gill Moor,ORGANIZATION,{'ORGANIZATION': 0.91487805624526},the_adventure_of_the_priory_school,Lower Gill Moor,Lower Gill Moor
5401,Watson,PERSON,{'PERSON': 0.97231890530747},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
5437,Holdernesse Hall,LOCATION,{'LOCATION': 0.87510399380604},the_adventure_of_the_priory_school,Holdernesse Hall,Holdernesse Hall
5515,Holmes,PERSON,{'PERSON': 0.82691613309347},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
5561,Watson,PERSON,{'PERSON': 0.88481449041363},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
5617,Holmes,PERSON,{'PERSON': 0.74782427799453},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
5632,Baker Street,LOCATION,{'LOCATION': 0.99110667693398},the_adventure_of_the_priory_school,Baker Street,Baker Street
5708,Holdernesse,LOCATION,{'LOCATION': 0.58462491453928},the_adventure_of_the_priory_school,Holdernesse,Holdernesse
5743,German,MISC,{'MISC': 0.99999721574035},the_adventure_of_the_priory_school,German,German
5803,Holmes,PERSON,{'PERSON': 0.97252540100991},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
5885,Holmes,PERSON,{'PERSON': 0.99865826790581},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
5949,Heidegger,PERSON,{'PERSON': 0.87877570756624},the_adventure_of_the_priory_school,Heidegger,other
5953,Palmer,PERSON,{'PERSON': 0.96492372777218},the_adventure_of_the_priory_school,Palmer,other
5977,Heidegger,PERSON,{'PERSON': 0.79007315709707},the_adventure_of_the_priory_school,Heidegger,other
6051,Watson,PERSON,{'PERSON': 0.96940771357688},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
6166,spring,DATE,{'DATE': 0.75567849478071},the_adventure_of_the_priory_school,spring,spring
6227,Holmes,PERSON,{'PERSON': 0.99151480926067},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
6371,Holmes,PERSON,{'PERSON': 0.9679467401417},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
6401,Palmer,PERSON,{'PERSON': 0.82316454385999},the_adventure_of_the_priory_school,Palmer,other
6407,Herr Heidegger,PERSON,{'PERSON': 0.99905233442345},the_adventure_of_the_priory_school,Herr Heidegger,other
6415,Holmes,PERSON,{'PERSON': 0.90038709286519},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
6429,Watson,PERSON,{'PERSON': 0.97065507316945},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
6522,Holmes,PERSON,{'PERSON': 0.98760788403803},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
6592,Jove,PERSON,{'PERSON': 0.84406669956402},the_adventure_of_the_priory_school,Jove,Jove
6639,Holmes,PERSON,{'PERSON': 0.93477241922873},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
6686,Holmes,PERSON,{'PERSON': 0.98964266940932},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
6694,Watson,PERSON,{'PERSON': 0.97458315867993},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
6759,Watson,PERSON,{'PERSON': 0.84934368843325},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
6967,German,MISC,{'MISC': 0.99999900799932},the_adventure_of_the_priory_school,German,German
6970,Holmes,PERSON,{'PERSON': 0.99426600154631},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
7032,Watson,PERSON,{'PERSON': 0.94216076962451},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
7151,Holmes,PERSON,{'PERSON': 0.98488694884965},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
7161,Huxtable,PERSON,{'PERSON': 0.99338781592495},the_adventure_of_the_priory_school,Huxtable,Huxtable
7166,Watson,PERSON,{'PERSON': 0.97230079322452},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
7179,this morning,TIME,{'TIME': 0.85655972178294},the_adventure_of_the_priory_school,this morning,this morning
7208,Dunlop,PERSON,{'PERSON': 0.69377073836295},the_adventure_of_the_priory_school,Dunlop,other
7302,German,MISC,{'MISC': 0.99999835714875},the_adventure_of_the_priory_school,German,German
7325,German,MISC,{'MISC': 0.99999677722052},the_adventure_of_the_priory_school,German,German
7442,German,MISC,{'MISC': 0.99999764494328},the_adventure_of_the_priory_school,German,German
7631,Holmes,PERSON,{'PERSON': 0.65258264063667},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
7707,Watson,PERSON,{'PERSON': 0.9917315418807},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
7756,Palmer,PERSON,{'PERSON': 0.64410108715527},the_adventure_of_the_priory_school,Palmer,other
7829,Dunlop,MISC,{'MISC': 0.3780990627332},the_adventure_of_the_priory_school,Dunlop,Dunlop
7837,Holdernesse Hall,LOCATION,{'LOCATION': 0.34918852407943},the_adventure_of_the_priory_school,Holdernesse Hall,Holdernesse Hall
7872,Chesterfield,LOCATION,{'LOCATION': 0.97026292514642},the_adventure_of_the_priory_school,Chesterfield,Chesterfield
7897,Holmes,PERSON,{'PERSON': 0.98447983729882},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
7960,Mr. Reuben Hayes,PERSON,,the_adventure_of_the_priory_school,Mr. Reuben Hayes,other
7966,Holmes,PERSON,{'PERSON': 0.98964266940932},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
8089,Mr. Reuben Hayes,PERSON,,the_adventure_of_the_priory_school,Mr. Reuben Hayes,other
8100,Holmes,PERSON,{'PERSON': 0.99256425655182},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
8191,Holdernesse Hall,LOCATION,{'LOCATION': 0.52107395260152},the_adventure_of_the_priory_school,Holdernesse Hall,Holdernesse Hall
8199,Dook,MISC,{'MISC': 0.53620629071831},the_adventure_of_the_priory_school,Dook,Dook
8219,Holmes,PERSON,{'PERSON': 0.98614036711574},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
8278,Liverpool,LOCATION,{'LOCATION': 0.97606666940603},the_adventure_of_the_priory_school,Liverpool,Liverpool
8315,Dook,LOCATION,{'LOCATION': 0.50436435658973},the_adventure_of_the_priory_school,Dook,Dook
8374,Liverpool,LOCATION,{'LOCATION': 0.89353893813743},the_adventure_of_the_priory_school,Liverpool,Liverpool
8396,Holmes,PERSON,{'PERSON': 0.99034375808102},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
8424,Holmes,PERSON,{'PERSON': 0.97435525139715},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
8465,Holmes,PERSON,{'PERSON': 0.96102277985682},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
8514,early morning,TIME,{'TIME': 0.70186945866094},the_adventure_of_the_priory_school,early morning,early morning
8527,Holmes,PERSON,{'PERSON': 0.99190703669503},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
8580,Holmes,PERSON,{'PERSON': 0.98998387695092},the_adventure_of_the_priory_school,Sherlock Holmes,Sherlock Holmes
8608,Watson,PERSON,{'PERSON': 0.98823986432198},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
8632,Watson,PERSON,{'PERSON': 0.949272120903},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
8679,Heidegger,PERSON,{'PERSON': 0.99926459942633},the_adventure_of_the_priory_school,Heidegger,other
8692,Watson,PERSON,{'PERSON': 0.91923322138336},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
8717,Watson,PERSON,{'PERSON': 0.96529774108543},the_adventure_of_the_priory_school,John H. Watson,John H. Watson
